name,CONML,gvkey_n,sdc_cusip
Mack-Cali Realty Corp,Mack-Cali Realty Corp,30637,554489
Mackinac Financial Corp,MacKinac Financial Corp,114880,554571
Macy's Inc,Macy's Inc,4611,55616P
Steven Madden Ltd,Steven Madden Ltd,29382,556269
Magellan Midstream Partners LP,Magellan Midstream Partners LP,142230,559080
Magellan Petroleum Corp,Magellan Petroleum Corp,6936,559091
Ecoark Holdings Inc,Ecoark Holdings Inc,27086,55967R
New Source Energy Corp,New Source Energy Corp,188457,56019J
Main Street Capital Corp,Main Street Capital Corp,178529,56035L
Malibu Boats Inc,Malibu Boats Inc,19391,56117J
MamaMancini's Holdings Inc,MamaMancini's Holdings Inc,17494,56146T
Mandalay Resort Group,Mandalay Resort Group,3063,562567
Manhattan Bancorp,Manhattan Bancorp,11154,562754
Mannkind Corp,MannKind Corp,160340,56400P
ManTech International Corp,ManTech International Corp,146171,564563
Marathon Oil Corp,Marathon Oil Corp,7017,565849
Marathon Petroleum Corp,Marathon Petroleum Corp,186989,56585A
Marathon Patent Group Inc,Marathon Patent Group Inc,4384,56585W
marchFIRST Inc,Marchfirst Inc,62759,566244
Marchex Inc,Marchex Inc,157755,56624R
Marcus & Millichap Inc,Marcus & Millichap Inc,19000,566324
Marinemax Inc,MarineMax Inc,111103,567908
Marina Biotech Inc,Marina Biotech Inc -Old,7694,56804Q
Marine Drive Mobile Corp,Marine Drive Mobile Corp -Old,184832,56826J
Mariner Energy Inc,Mariner Energy Inc,148281,56845V
Markel Corp,Markel Corp,12909,570535
MarketAxess Holdings Inc,MarketAxess Holdings Inc,158742,57060D
MarkWest Energy Partners LP,MarkWest Energy Partners LP,148770,570759
Marriott Vacations Worldwide,Marriott Vacations Worldwide Corp,191255,57164Y
Marrone Bio Innovations Inc,Marrone Bio Innovations Inc,18270,57165B
Marriott International Inc,Marriott International Inc,28930,571903
Masco Corp,Masco Corp,7085,574599
Masonite International Corp,Masonite International Corp,20696,575385
MasTec Inc,MasTec Inc.,2497,576323
Mastech Digital Inc,Mastech Digital Inc,180822,57633B
Mastercard Inc,Mastercard Inc,160225,57636Q
Material Sciences Corp,Material Sciences Corp,7107,576674
Materion Corp,Materion Corp,2448,576690
MathStar Inc,MathStar Inc-Old,164615,576801
Matinas BioPharma Holdings Inc,Matinas BioPharma Holdings Inc,20756,576810
Matrix Service Co,Matrix Service Co,23195,576853
Matlack Systems,Matlack Systems Inc,15089,576901
Matthews International Corp,Matthews International Corp,30477,577128
Matthews International Corp,Matthews International Corp,30477,57713Q
Mattress Discounters Corp,Mattress Discounters Corp,148283,57715A
Maxwell Technologies Inc,Maxwell Technologies Inc,7124,577767
MaxLinear Inc,MaxLinear Inc,184551,57776J
Maxar Technologies Inc,Maxar Technologies Inc,137609,57778K
McCormick & Co Inc,McCormick & Co Inc,7146,579780
McDermott International Inc,McDermott International Inc.,7152,580037
McDonald's Corp,McDonald's Corp,7154,580135
MCG Capital Corp,MCG Capital Corp,146114,58047P
Meadow Valley Corp,Meadow Valley Corp,61425,583185
Measurement Specialties Inc,Measurement Specialties Inc.,12236,583421
Medallia Inc,Medallia Inc,35374,584021
MedCath Corp,MedCath Corp,143605,58404W
MedEquities Realty Trust Inc,Medequities Realty Trust Inc,21867,58409L
MediaNews Group Inc,MediaNews Group Inc,138143,58448R
Medical Properties Trust Inc,Medical Properties Trust Inc,162160,58463J
MediCor Ltd,Medicor Ltd,146739,58470M
MEDNAX Inc,Mednax Inc,61325,58502B
Medley Capital Corp,Medley Capital Corp,186279,58503F
MEDOVEX Corp,MEDOVEX Corp,22484,58504H
Medstone International Inc,Medstone International Inc,14512,58505C
Mega Group Inc,Mega Group Inc,14656,58514R
Medical Resources Inc,Medical Resources Inc,25699,58575M
Menlo Therapeutics Inc,Menlo Therapeutics Inc -Old,32889,586858
Mentor Graphics Corp,Mentor Graphics Corp,7251,587200
Mercantile Bancorp Inc,Mercantile Bancorp Inc/IL,136864,58734P
Merck & Co Inc,Merck & Co Inc,7257,589331
Merck & Co Inc,Merck & Co Inc,7257,58933Y
Mercury Systems Inc,Mercury Systems Inc,66393,589378
Meredith Corp,Meredith Corp,7260,589433
Merilus Inc,Merilus Inc,134448,58984R
MeriStar Hospitality Corp,MeriStar Hospitality Corp,63507,58984Y
Merit Medical Systems Inc,Merit Medical Systems Inc,21777,589889
Merrill Lynch & Co Inc,Merrill Lynch & Co Inc,7267,590188
Merrimack Pharmaceuticals Inc,Merrimack Pharmaceuticals Inc,187631,590328
Meritor Inc,Meritor Inc,65399,59039C
Mestek Inc,Mestek Inc.,14064,590829
Metalico Inc,Metalico Inc,160474,591176
Metalline Mining Co,Metalline Mining Co-Old,64027,591257
Meteor Industries Inc,Meteor Industries Inc,29600,591475
Methode Electronics Inc,Methode Electronics Inc,7291,591520
MetLife Inc,Metlife Inc.,133768,59156R
Metro-Goldwyn-Mayer Inc,Metro-Goldwyn-Mayer Inc.,12352,591610
Metromedia Intl Group Inc,Metromedia International Group Inc.,4932,59169J
Metropolitan Life Insurance Co,Metropolitan Life Insurance Co,122634,592173
Michael Foods Inc,Michael Foods Inc,13318,594079
Micrel Inc,Micrel Inc.,31147,594793
Microsoft Corp,Microsoft Corp,12141,594918
MicroStrategy Inc,MicroStrategy Inc,111534,594972
Microchip Technology Inc,Microchip Technology Inc,27965,595017
Micron Technology Inc,Micron Technology Inc.,7343,595112
Microsemi Corp,Microsemi Corp,7346,595137
Mid-Con Energy Partners LP,Mid-Con Energy Partners LP,187810,59560V
Midcoast Energy Partners LP,Midcoast Energy Partners LP,19104,59564N
Midland States Bancorp Inc,Midland States Bancorp Inc,187236,597742
Midstates Petroleum Co Inc,Midstates Petroleum Co Inc,170627,59804T
Midway Airlines Corp,Midway Airlines Corp,65972,598126
MidWestOne Financial Group Inc,MidWestOne Financial Group Inc-Old,30685,598511
MIIX Group Inc,Miix Group Inc,122435,59862V
Milacron Holdings Corp,Milacron Holdings Corp,23569,59870L
Millennium Pharmaceuticals Inc,Millennium Pharmaceuticals Inc.,62784,599902
Four Springs Capital Trust,Four Springs Capital Trust,32006,5A1338
Pluralsight LLC,Pluralsight Inc,33446,5A2499
Transport Corp of America Inc,Transport Corp of America Inc,30925,5A5448
Allegiance Bancshares Inc,Allegiance Bancshares Inc,26270,5A7781
Qorvo Inc,Qorvo Inc,64853,5C3018
FRP Holdings Inc,FRP Holdings Inc,12926,5C8721
NEP Group Inc,NEP Group Inc,66921,5C9176
GCP Applied Technologies Inc,GCP Applied Technologies Inc,26812,5C9643
Biogen Inc,Biogen Inc,24468,5E4690
Investors Bancorp Inc,Investors Bancorp Inc,164364,5E5658
Coastal Carolina Bancshares,Coastal Carolina Bancshares Inc,180654,5E7265
Novanta Inc,Novanta Inc,61356,5E8977
Marimed Inc,MariMed Inc,21873,5F1177
SEACOR Marine Holdings Inc,Seacor Marine Holdings Inc,31384,5F6555
Tivity Health Inc,Tivity Health Inc,24396,5F8188
Camber Energy Inc,Camber Energy Inc,163596,5H3695
PGT Innovations Inc,PGT Innovations Inc,174049,5H7841
TCF Financial Corp,TCF Financial Corp,15363,5J6238
Kintara Therapeutics Inc,Kintara Therapeutics Inc,17175,5K2990
Millennium Cell Inc,Millennium Cell Inc,138609,60038B
Herman Miller Inc,Herman Miller Inc,7401,600544
Millipore Corp,Millipore Corp,7409,601073
MINDBODY Inc,MINDBODY Inc,23935,60255W
MiniMed Inc,Minimed Inc,61059,60365K
Misonix Inc,MISONIX Inc,24890,604871
Mission Resources Corp,Mission Resources Corp,14114,605109
Mission West Properties Inc,Mission West Properties Inc.,7447,605203
Mistras Group Inc,Mistras Group Inc,180229,60649T
Mitek Systems Inc,Mitek Systems Inc,14113,606710
Mix 1 Life Inc,Mix 1 Life Inc,187956,60688W
Mobetize Corp,Mobetize Corp,16143,607050
Mobivity Holdings Corp,Mobivity Holdings Corp,183964,60743E
Model N Inc,Model N Inc,17553,607525
Modine Manufacturing Co,Modine Manufacturing Co,7486,607828
Moelis & Co,Moelis & Co,19927,60786M
Molecular Devices Corp,Molecular Devices Corp,61706,60851C
Molex Inc,Molex Inc.,7506,608554
Molina Healthcare Inc,Molina Healthcare Inc.,152149,60855R
Monaco Coach Corp,Monaco Coach Corp,28917,60886R
Monadnock Bancorp Inc,Monadnock Bancorp Inc,160751,608875
Monaker Group Inc,Monaker Group Inc,179447,609011
Monsanto Co,Monsanto Co,140760,611662
Monsanto Co,Monsanto Co,140760,61166W
Moog Inc,Moog Inc.,7549,615394
Morgan Properties Trust,Morgan Properties Trust,187706,61754Q
Morningstar Inc,Morningstar Inc,160373,617700
Morrison Management Specialist,Morrison Management Specialists,62351,618459
Motorcar Parts of America Inc,Motorcar Parts of America Inc,29930,620071
Mountainview Energy Ltd,Mountainview Energy Ltd,142933,62454R
Movado Group Inc,Movado Group Inc,7951,624580
Mudrick Capital Acquisition,Mudrick Capital Acquisition Corp,32946,624745
Mueller Industries Inc,Mueller Industries Inc.,15343,624756
Mueller Water Products Inc,Mueller Water Products Inc,166482,624758
Mr Cooper Group Inc,MR Cooper Group Inc,13888,62482R
Multiband Corp,Multiband Corp,108740,62544X
Multiplayer Online Dragon Inc,Multiplayer Online Dragon Inc-Old,185352,62577Y
Murphy Oil Corp,Murphy Oil Corp,7620,626717
Mutualfirst Financial Inc,MutualFirst Financial Inc,127797,62845B
Myriad Genetics Inc,Myriad Genetics Inc,61399,62855J
NCH Corp,NCH Corp,7646,628850
NCO Group Inc,NCO Group Inc,63951,628858
NCR Corp,NCR Corp,7648,62886E
Nebula Acquisition Corp,Nebula Acquisition Corp,32898,629076
NGL Energy Partners LP,NGL Energy Partners LP,186501,62913M
NN Inc,NN Inc,29894,629337
NQL Inc,NQL Inc,1334,629369
NRC Group Holdings Corp,NRC Group Holdings Corp,33573,629375
NRG Energy Inc,NRG Energy Inc,135990,629377
NTL Inc,NTL Inc,24361,629407
NV5 Global Inc,NV5 Global Inc,17277,62945V
NYMEX Holdings Inc,NYMEX Holdings Inc,176048,62948N
NYSE Euronext,NYSE Euronext,166451,629491
NACCO Industries Inc,NACCO Industries Inc.,7938,629579
Nanogen Inc,Nanogen Inc,109425,630075
Nanometrics Inc,Nanometrics Inc,7682,630077
National Bank Holdings Corp,National Bank Holdings Corp,190963,633708
National CineMedia Inc,National CineMedia LLC,176590,635309
National Commerce Corp,National Commerce Corp,23294,63546L
National HealthCare Corp,National Healthcare Corp,7741,635906
National Golf Properties Inc,National Golf Properties Inc.,28735,63623G
National Health Investors Inc,National Health Investors Inc.,24533,63633D
National Holdings Corp,National Holdings Corp,13649,636375
National Instruments Corp,National Instruments Corp,31607,636518
National Presto Industries Inc,National Presto Industries Inc.,7762,637215
National Service Industries,National Service Industries Inc.,7773,637657
National Waterworks Inc,National Waterworks Inc,160682,63848F
Evolution Petroleum Corp,Evolution Petroleum Corp,62626,63887P
Natural Resource Partners LP,Natural Resource Partners LP,150837,63900P
Nautilus Inc,Nautilus Inc,27760,63910B
Navigant Consulting Inc,Navigant Consulting Inc.,63724,63935N
Navient Corp,Navient Corp,10121,63938C
NDCHealth Corp,NDCHealth Corp,7723,639480
Neenah Enterprises Inc,Neenah Enterprises Inc,178543,64012K
Nelnet Inc,Nelnet Inc.,155738,64031N
Neutron Energy Inc,Neutron Energy Inc,187286,64035Q
NeoMagic Corp,NeoMagic Corp,64485,640497
NeoPhotonics Corp,NeoPhotonics Corp,184702,64051T
Neose Technologies Inc,Neose Technologies Inc,62170,640522
Neothetics Inc,Neothetics Inc,21998,64066G
NESCO Inc,Nesco Inc,31594,64082T
NeoPharm Inc,NeoPharm Inc-Old,61901,640919
NetApp Inc,NetApp Inc,61591,64110D
Netflix Inc,Netflix Inc,147579,64110L
NETGEAR Inc,NETGEAR Inc,154039,64111Q
NetScout Systems Inc,NetScout Systems Inc,122902,64115T
NetSpend Holdings Inc,NetSpend Holdings Inc,185269,64118V
Network Commerce Inc,Network Commerce Inc,124324,64122T
Netzee Inc,Netzee Inc,125976,64122W
NeuroMetrix Inc,NeuroMetrix Inc,160488,641255
Nevada Gold & Casinos Inc,Nevada Gold & Casinos Inc.,8266,64126Q
NeuStar Inc,NeuStar Inc,163629,64126X
Inteliquent Inc,Inteliquent Inc,178767,64128B
NeuroBo Pharmaceuticals Inc,NeuroBo Pharmaceuticals Inc,36014,64132R
New Century Financial Corp,New Century Financial Corp,64991,6435EV
NameMedia Inc,NameMedia Inc,179743,64456L
New Jersey Resources Corp,New Jersey Resources Corp,7849,646025
New Plan Excel Realty Trust,New Plan Excel Realty Trust Inc.,7852,648053
New Relic Inc,New Relic Inc,22182,64829B
New Senior Investment Group,New Senior Investment Group,22025,648691
New Valley Corp,New Valley Corp,11427,649080
New York Community Bancorp Inc,New York Community Bancorp Inc.,29282,649445
New York Life Insurance Co,New York Life Insurance Co,127774,64952E
New York Mortgage Trust Inc,New York Mortgage Trust Inc,158053,649604
NewAge Inc,NewAge Inc,21178,650194
Newell Brands Inc,Newell Brands Inc,7875,651229
NewLink Genetics Corp,NewLink Genetics Corp,186607,651511
NewMarket Corp,NewMarket Corp,4462,651587
NewMarket Technology Inc,Newmarket Technology Inc,111407,651627
Newpark Resources Inc,Newpark Resources Inc.,7882,651718
Newport Corp,Newport Corp,7883,651824
News Corp,News Corp,18043,65248E
News Corp,News Corp,18043,65249B
Newstar Media Inc,Newstar Media Inc,31100,652503
NewStar Financial Inc,NewStar Financial Inc,176239,65251F
NexCen Brands Inc,NexCen Brands Inc,125315,653351
Nexstar Media Group Inc,Nexstar Media Group Inc.,149177,65336K
Next Inc,Next Inc,122914,65336T
NextWave Wireless Inc,Nextwave Wireless Inc,176066,65337Y
NextEra Energy Inc,NextEra Energy Inc,4517,65339F
NextEra Energy Partners LP,NextEra Energy Partners LP,20655,65341B
Nexpoint Residential Trust Inc,NexPoint Residential Trust Inc,23086,65341D
Nexeo Solutions Inc,Nexeo Solutions Inc,20619,65342H
Nicolet Bankshares Inc,Nicolet Bankshares Inc,17875,65380P
NiSource Inc,NiSource Inc,7974,65473P
nLIGHT Inc,nLIGHT Inc,33420,65487K
Nova Biosource Fuels Inc,Nova Biosource Fuels Inc,162087,65488W
Noble Energy Inc,Noble Energy Inc,7912,655044
Noble International Ltd,Noble International Ltd,65881,655053
Noranda Aluminum Holding Corp,Noranda Aluminum Holding Corp,177303,65542W
Nord Resources Corp,Nord Resources Corp,7920,655555
Norfolk Southern Corp,Norfolk Southern Corp,7923,655844
Nortek Holdings Inc,Nortek Holdings Inc.,7935,656557
North American Oil & Gas Corp,North American Oil & Gas Corp,16631,65704V
North Atlantic Trading Co Inc,North Atlantic Trading Inc,122265,65735A
Northern Trust Corp,Northern Trust Corp,7982,665859
Northfield Bancorp Inc,Northfield Bancorp Inc,178834,66611T
Northrim Bancorp Inc,Northrim BanCorp Inc,23450,666762
Northrop Grumman Corp,Northrop Grumman Corp,7985,666807
NorthStar Realty Finance Corp,NorthStar Realty Finance Corp,160293,66704R
Northwest Bancshares Inc,Northwest Bancshares Inc,30932,667340
Northwest Biotherapeutics Inc,Northwest Biotherapeutics Inc,144887,66737P
Northwest Indiana Bancorp,Northwest Indiana Bancorp,107644,66751F
Northwest Pipe Co,Northwest Pipe Co,61635,667746
NortonLifeLock Inc,NortonLifeLock Inc,15855,668771
Novelis Inc,Novelis Inc,162701,66920V
Norwood Financial Corp,Norwood Financial Corp.,66155,669549
Nova Lifestyle Inc,Nova Lifestyle Inc,184585,66979P
NovaMed Inc,NovaMed Inc.,123017,66986W
NovaDel Pharma Inc,NovaDel Pharma Inc,65876,66986X
Novation Cos Inc,Novation Cos Inc,65737,66989V
Nuance Communications Inc,Nuance Communications Inc-Old,134031,669967
Novo Networks Inc,Novo Networks Inc.,17221,670099
Nu Skin Enterprises Inc,Nu Skin Enterprises Inc.,64028,67018T
NTELOS Holdings Corp,NTELOS Holdings Corp,165845,67020Q
Nuance Communications Inc,Nuance Communications Inc-Old,134031,67020Y
Nucor Corp,Nucor Corp,8030,670346
Numerex Corp,Numerex Corp.,30029,67053A
NuStar Energy LP,NuStar Energy LP,141363,67058H
Nutanix Inc,Nutanix Inc,26746,67059N
Nutra Pharma Corp,Nutra Pharma Corp,145206,67060U
Nuvasive Inc,NuVasive Inc,264385,670704
Nyer Medical Group Inc,Nyer Medical Group Inc,25359,670711
NYFIX Inc,NYFIX Inc,26523,670712
Nuvectra Corp,Nuvectra Corp,26382,67075N
OCZ Technology Group Inc,Ocz Technology Group Inc,284041,67086E
Nuveen Investments Inc,Nuveen Investments Inc,25296,67090F
Nxt-ID Inc,Nxt-ID Inc,18490,67091J
Nutriband Inc,Nutriband Inc,31942,67092M
OSI Pharmaceuticals Inc,OSI Pharmaceuticals Inc,12180,671040
OSI Systems Inc,OSI Systems Inc,65607,671044
OSI Restaurant Partners Inc,OSI Restaurant Partners Inc,24186,67104A
Nuevo Energy Corp,Nuevo Energy Co,22668,67116R
Oak Technology Inc,Oak Technology Inc,31530,671802
Oaktree Capital Group LLC,Oaktree Capital Group LLC,187491,674001
Oakwood Homes LLC,Oakwood Homes Corp,8067,67411P
Occidental Petroleum Corp,Occidental Petroleum Corp,8068,674599
Oceaneering International Inc,Oceaneering International Inc.,8079,675232
OceanFirst Financial Corp,OceanFirst Financial Corp.,63232,675234
Ocwen Financial Corp,Ocwen Financial Corp,63639,675746
Ohio Legacy Corp,Ohio Legacy Corp,151606,677399
OHR Pharmaceutical Inc,Ohr Pharmaceutical Inc,160578,67778H
Oil States International Inc,Oil States International Inc,142260,678026
Okta Inc,Okta Inc,30736,679295
Old Line Bancshares Inc,Old Line Bancshares Inc,66161,67984M
Old National Bancorp,Old National Bancorp,17095,680033
Omnicom Group Inc,Omnicom Group Inc.,4066,681919
Omega Healthcare Investors Inc,Omega Healthcare Investors Inc.,25633,681936
OMNOVA Solutions Inc,OMNOVA Solutions Inc.,124254,682129
Omni Financial Services Inc,Omni Financial Services Inc,175272,68214U
ON Semiconductor Corp,ON Semiconductor Corp,134932,682189
One Liberty Properties Inc,One Liberty Properties Inc.,8148,682406
One IP Voice Inc,One IP Voice Inc,13756,68241L
1-800-Flowers.com Inc,1-800-FLOWERS.COM Inc,122519,68243Q
One Stop Systems Inc,One Stop Systems Inc,32851,68247W
ONEOK Inc,ONEOK Inc,8151,682680
OPKO Health Inc,Opko Health Inc,61490,68375N
Optio Software Inc,Optio Software Inc,127462,68389J
Oracle Corp,Oracle Corp,12142,68389X
Option Care Inc,OPTION CARE Inc,25168,683948
OptimizeRx Corp,OptimizeRX Corp,23464,68401U
Oragenics Inc,Oragenics Inc,154605,684023
OraSure Technologies Inc,OraSure Technologies Inc,12915,68554V
ORBCOMM Inc,ORBCOMM Inc,175004,68555P
orbitTravel.com Corp,orbitTRAVEL.com Corp,31788,68556V
Organogenesis Inc,Organogenesis Inc.,13282,685906
Origen Financial Inc,Origen Financial Inc,156176,68619E
Orion HealthCorp Inc,Orion Healthcorp Inc,127484,68627W
Orisun Acquisition Corp,Orisun Acquisition Corp,35398,68632T
Orleans Homebuilders Inc,Orleans Homebuilders Inc,4515,686588
Ormat Technologies Inc,Ormat Technologies Inc,160913,686688
Ormet Corp,Ormet Corp,164135,68669N
Ormet Corp,Ormet Corp,164135,68669Q
Orthopediatrics Corp,OrthoPediatrics Corp,27555,68752L
Oryx Technology Corp,Oryx Technology Corp,30005,68763X
Outboard Marine Corp,Outboard Marine Corp,8202,690020
Outdoor Channel Holdings Inc,Outdoor Channel Holdings Inc,18560,690027
OutSource International Inc,Outsource International Inc,65690,690131
Overseas Shipholding Group Inc,Overseas Shipholding Group Inc.,8210,690368
Owens & Minor Inc,Owens & Minor Inc.,8213,690732
Owens Corning,Owens Corning,8214,690742
P&F Industries Inc,P & F Industries Inc,8229,692830
PBF Energy Inc,PBF Energy Inc,196159,69318G
PCM Inc,PCM Inc,31674,69323K
PC ServiceSource Inc,PC Service Source Inc,29963,693258
PDC Energy Inc,PDC Energy Inc,8512,69327R
PDF Solutions Inc,PDF Solutions Inc,144437,693282
PDL Biopharma Inc,PDL BioPharma Inc,24878,69329Y
PECO Energy Co,PECO Energy Co,145347,693304
PG&E Corp,PG&E Corp,8264,69331C
PHH Corp,PHH Corp,8240,693320
PICO Holdings Inc,PICO Holdings Inc,23768,693366
PMC Commercial Trust Inc,PMC Commercial Trust-Old,29448,693434
PJT Partners Inc,PJT Partners Inc,23247,69343T
PMI Group Inc,PMI Group Inc.,31707,69344M
PNM Resources Inc,PNM Resources Inc.,8807,69349H
PPG Industries Inc,PPG Industries Inc.,8247,693506
PPL Corp,PPL Corp,8455,69351T
PRA Group Inc,PRA Group Inc,150477,69354N
PS Business Parks Inc,PS Business Parks Inc.,23793,69360J
PSM Holdings Inc,PSM Holdings Inc,165161,69364D
PVH Corp,PVH Corp,8551,693656
PSS World Medical Inc,PSS World Medical Inc,30161,69366A
PTC Therapeutics Inc,PTC Therapeutics Inc,174134,69366J
Pacer Health Corp,Pacer Health Corp,61974,693737
Pacific Green Technologies Inc,Pacific Green Technologies Inc,125376,694347
Pacific Premier Bancorp Inc,Pacific Premier Bancorp Inc,64979,69478X
Packaging Corp of America,Packaging Corp Of America,128978,695156
PacWest Bancorp,PacWest Bancorp,136265,695263
PAETEC Holding Corp,PAETEC Holding Corp,176833,695459
PagerDuty Inc,PagerDuty Inc,34955,69553P
PaineWebber Group Inc,Paine Webber Group,8299,69563L
Protonex Technology Corp,Protonex Technology Corp,284722,69577K
Affinion Group Holdings Inc,Affinion Group Holdings Inc,178540,69689J
Palo Alto Networks Inc,Palo Alto Networks Inc,171067,697435
Pan Global Corp,Pan Global Corp,17879,69806B
Panacos Pharmaceuticals Inc,Panacos Pharmaceuticals Inc,111492,69811Q
Pandora Media Inc,Pandora Media Inc,186520,698354
Panera Bread Co,Panera Bread Co,24113,69840W
Par Technology Corp,PAR Technology Corp,8334,698884
Paradise Inc,Paradise Inc,8336,699058
Paragon Commercial Corp,Paragon Commercial Corp,156421,69911U
Parallel Petroleum Corp,Parallel Petroleum Corp,8341,699157
Paramount Gold Nevada Corp,Paramount Gold Nevada Corp,126036,69924M
Paramount Group Inc,Paramount Group Inc,21604,69924R
PAREXEL International Corp,PAREXEL International Corp,61600,699462
Pareteum Corp,Pareteum Corp,108348,69946T
Harrison Vickers & Waterman,Harrison Vickers & Waterman Inc,20587,6A0157
Citadel Communications LP,Citadel Communications Corp,112184,6A1015
MSG Networks Inc,MSG Networks Inc,184157,6A3456
Atlas Energy Group LLC,Atlas Energy Group LLC,166458,6C2993
Integrated Silicon Solution,Integrated Silicon Solution Inc,31488,6C5440
Magellan Health Inc,Magellan Health Inc,2940,6C6566
Digital Turbine Inc,Digital Turbine Inc,9551,6C6884
Atlantic Capital Bancshares,Atlantic Capital Bancshares Inc,179048,6C8300
ERBA Diagnostics Inc,ERBA Diagnostics Inc,128098,6C8570
Code Rebel Corp,Code Rebel Corp,23494,6C9553
United Fire Group Inc,United Fire Group Inc,17252,6E0868
Byline Bancorp Inc,Byline Bancorp Inc,31585,6E9125
Lonestar Resources US Inc,Lonestar Resources US Inc,247371,6F1887
Exela Technologies Inc,Exela Technologies Inc,32074,6F7477
JBG Smith Properties,JBG SMITH Properties,32154,6F8464
AECOM,AECOM,147988,6F8470
Amerinac Holding Corp,Amerinac Holding Corp,106574,6F9027
Dare Bioscience Inc,Dare Bioscience Inc,32233,6F9119
Harvest Oil & Gas Corp,Harvest Oil & Gas Corp,175006,6H3182
Tenzing Acquisition Corp,Tenzing Acquisition Corp,34023,6H3348
SVMK Inc,Svmk Inc,34140,6H4791
Medalist Diversified REIT Inc,Medalist Diversified REIT Inc,34420,6H4794
Ideanomics Inc,Ideanomics Inc,24658,6H8511
Heritage Southeast Bancorp Inc,Heritage Southeast Bancorp,60984,6J5220
Park Hotels & Resorts Inc,Park Hotels & Resorts Inc,27394,700517
Parker Hannifin Corp,Parker-Hannifin Corp,8358,701094
Parks America Inc,Parks America Inc,154360,701455
Parkway Acquisition Corp,Parkway Acquisition Corp,112159,70153X
Parsley Energy Inc,Parsley Energy Inc,20298,701877
Parsons Corp,Parsons Corp,35158,70202L
Pattern Energy Group LP,Pattern Energy Group Inc,18677,70314R
Path 1 Network Technologies,Path 1 Network Technologies Inc.,113768,703186
Patina Oil & Gas Corp,Patina Oil & Gas Corp,62756,703224
Patrick Industries Inc,Patrick Industries Inc,8386,703343
Patriot Capital Funding Inc,Patriot Capital Funding Inc,164444,70335Y
Patriot Coal Corp,Patriot Coal Corp,178608,70336T
Pattern Energy Group Inc,Pattern Energy Group Inc,18677,70338P
Patriot National Inc,Patriot National Inc,22515,70338T
Patterson-UTI Energy Inc,Patterson-UTI Energy Inc,29108,703481
PayPal Holdings Inc,PayPal Holdings Inc,24616,70450Y
Peabody Energy Corp,Peabody Energy Corp,142460,704549
Peak Resorts Inc,Peak Resorts Inc,187040,70469L
Peak Resorts Inc,Peak Resorts Inc,187040,70480Z
Pebblebrook Hotel Trust,Pebblebrook Hotel Trust,183830,70509V
Pediatric Services of America,Pediatric Services of America Inc,30283,705323
Peloton Interactive Inc,Peloton Interactive Inc,35627,70614W
Penn National Gaming Inc,Penn National Gaming Inc,30259,707569
Penn Treaty American Corp,Penn Treaty American Corp,16986,707874
Penn Virginia Corp,Penn Virginia Corp,8440,707882
Penseco Financial Services,Penseco Financial Services Corp,66394,709570
Penske Automotive Group Inc,Penske Automotive Group Inc,63847,70959W
Penson Worldwide Inc,Penson Worldwide Inc,164661,709600
Penumbra Inc,Penumbra Inc,26147,70975L
Peoples Energy Corp,Peoples Energy Corp,8470,711030
Peoples Financial Services,Peoples Financial Services Co,109143,71104Z
People's United Financial Inc,People's United Financial Inc,16245,712704
PepsiCo Inc,PepsiCo Inc,8479,713448
Perficient Inc,Perficient Inc,122394,71375U
Pericom Semiconductor Corp,Pericom Semiconductor Corp,65739,713831
PerkinElmer Inc,PerkinElmer Inc.,4145,714046
Pernix Group Inc,Pernix Group Inc,145351,714263
Pershing Gold Corp,Pershing Gold Corp,185689,715302
Perspecta Inc,Perspecta Inc,33439,715347
Pet DRx Corp,Pet DRx Corp,164610,715813
PetIQ Inc,PetIQ Inc,32219,71639T
Petro Stopping Centers LP,Petro Stopping Centers LP,64234,71647W
Petrohawk Energy Corp,Petrohawk Energy Corp,121934,716495
Petrohawk Energy LLC,Petrohawk Energy Corp,121934,71657J
PetroQuest Energy Inc,Petroquest Energy Inc,25874,716748
PetSmart Inc,PetSmart Inc,28648,716768
PetroShare Corp,PetroShare Corp,26543,71677L
PetVivo Holdings Inc,PetVivo Holdings Inc,20074,716817
Pfizer Inc,Pfizer Inc,8530,717081
Pharmacopeia Inc,Pharmacopeia Inc,160237,71713B
Pharmacia Corp,Pharmacia Corp,7536,71713U
PharMerica Corp,PharMerica Corp,177924,71714F
Phelps Dodge Corp,Phelps Dodge Corp,8536,717265
Phibro Animal Health Corp,Phibro Animal Health Corp,148293,71742Q
Phillips 66 Co,Phillips 66,170841,71805Y
Philip Morris Intl Inc,Philip Morris International Inc,179621,718172
Phoenix Footwear Group Inc,Phoenix Footwear Group Inc.,5327,71903M
Phoenix Restaurant Group Inc,Phoenix Restaurant Group Inc,30818,719132
PhotoMedex Inc,PhotoMedex Inc-Old,6598,719358
Photronics Inc,Photronics Inc,13200,719405
PhyAmerica Physician Group Inc,Phyamerica Physician Group,24195,71940A
Physicians Realty Trust,Physicians Realty Trust,18145,71943U
Phunware Inc,Phunware Inc,34584,71977Y
Piedmont Office Realty Trust,Piedmont Office Realty Trust Inc,146140,720190
Pilgrim's Pride Corp,Pilgrim's Pride Corp,12785,721467
Pillowtex Corp,Pillowtex Corp,27957,721501
Pinnacle Gas Resources Inc,Pinnacle Gas Resources Inc,176862,723464
