name,CONML,gvkey_n,sdc_cusip
Hi-Tech Pharmacal Co Inc,Hi Tech Pharmacal Co Inc,25623,42840B
Hibbett Sports Inc,Hibbett Sports Inc,63763,428567
Highland Hospitality Corp,Highland Hospitality Corp,156291,430141
Highwoods Properties Inc,Highwoods Properties Inc.,30298,431284
Hill International Inc,Hill International Inc,175055,431466
Hill-Rom Holdings Inc,Hill-Rom Holdings Inc,5639,431475
Hillenbrand Inc,Hillenbrand Inc,179657,431571
Hillshire Brands Co,Hillshire Brands Co,9411,432589
Hilltop Holdings Inc,Hilltop Holdings Inc,156953,432748
Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,5643,43300A
HireQuest Inc,HireQuest Inc,35481,433535
Histogenics Corp,Histogenics Corp,22229,43358V
HollyFrontier Corp,HollyFrontier Corp,5667,436106
Hologic Inc,Hologic Inc,20904,436440
Home BancShares Inc,Home Bancshares Inc,164633,436893
Home Bancorp Inc,Home Bancorp Inc,180183,43689E
HomeAway Inc,HomeAway Inc,186714,43739Q
Homeland Holding Corp,Homeland Holding Corp,15265,43739T
Hometown Auto Retailers Inc,Hometown Auto Retailers,112878,437858
Homestreet Inc,HomeStreet Inc,187164,43785V
Honeywell International Inc,Honeywell International Inc,1300,438516
Hooker Furniture Corp,Hooker Furniture Corp,122211,439038
Horace Mann Educators Corp,Horace Mann Educators Corp,24678,440327
Horizon Group Properties Inc,Horizon Group Properties Inc,111627,44041U
Horizon Lines Inc,Horizon Lines Inc,163586,44044K
Hormel Foods Corp,Hormel Foods Corp,5709,440452
Horizon Global Corp,Horizon Global Corp,23540,44052W
Hosoi Garden Mortuary Inc,Hosoi Garden Mortuary Inc,5741,441047
Hospira Inc,Hospira Inc,160255,441060
Host Hotels & Resorts Inc,Host Hotels & Resorts LP,260996,44107P
Houghton Mifflin Co,Houghton Mifflin Co,5726,441560
Houghton Mifflin Harcourt Co,Houghton Mifflin Harcourt Co,16738,44157R
Houston Wire & Cable Co,Houston Wire & Cable Co,174119,44244K
Hub Group Inc,Hub Group Inc,62378,443320
Hubbell Inc,Hubbell Inc,5764,443510
HubSpot Inc,HubSpot Inc,21847,443573
Hudson Capital Corp,Hudson Capital Inc,32283,44372K
Hudson Pacific Properties Inc,Hudson Pacific Properties Inc,185018,444097
Huffy Corp,Huffy Corp,5772,444356
Humana Inc,Humana Inc.,27914,444859
Ikaria Inc,Ikaria Inc,182350,44631A
Huntsman Corp,Huntsman Corp,162401,447011
Huron Consulting Group Inc,Huron Consulting Group Inc,161997,447462
Hyatt Hotels Corp,Hyatt Hotels Corp,183366,448579
Hybrid Energy Holdings Inc,Hybrid Energy Holdings Inc,7683,44861A
IDT Corp,IDT Corp,62396,448947
Hyster-Yale Materials Handling,Hyster-Yale Materials Handling Inc,160681,449172
IAC/InterActiveCorp,IAC/InterActiveCorp,36691,44919P
IA Global Inc,IA Global Inc.,121136,44920E
IAA Inc,IAA Inc,33750,449253
ICF International Inc,ICF International Inc,174637,44925C
I C H Corp,ICH Corp,5823,44926L
ICU Medical Inc,ICU Medical Inc,25110,44930G
IES Holdings Inc,IES Holdings Inc,66371,44951W
IGEN International Inc,IGEN International Inc,29677,449536
IMAC Holdings Inc,IMAC Holdings Inc,34163,44967K
IPI Inc,IPI Inc,30263,449804
Iasis Healthcare Corp,Iasis Healthcare LLC,142381,450725
iBasis Inc,iBasis Inc,179459,450732
iBeam Broadcasting Corp,Ibeam Broadcasting Corp,135705,45073P
IBERIABANK Corp,IBERIABANK Corp,24466,450828
Icoria Inc,Icoria Inc,135247,451045
Iconix Brand Group Inc,Iconix Brand Group Inc,20204,451055
IDACORP Inc,IDACORP Inc.,5870,451107
ITC Holdings Co,ITC Holdings Corp,163669,45147N
IDEX Corp,IDEX Corp,15267,45167R
iGATE Corp,IGATE Corp,64165,45169U
Identiv Inc,Identiv Inc,65552,45170X
Illinois Tool Works Inc,Illinois Tool Works Inc.,5878,452308
Image Sensing Systems Inc,Image Sensing Systems Inc,31775,45244C
ImaRx Therapeutics Inc,ImaRx Therapeutics Inc-Old,175067,45248L
Immediatek Inc,Immediatek Inc-Old,123914,45252S
Impath Inc,Impath Inc,62215,45255G
Imperial Industries Inc,Imperial Industries Inc,5899,452848
Immunomedics Inc,Immunomedics Inc,5902,452907
Imprivata Inc,Imprivata Inc,20884,45323J
Incyte Corp,Incyte Corp,29127,45337C
Independence Holding Co,Independence Holding Co,17131,453440
Independence Realty Trust,Independence Realty Trust Inc,18494,45378A
Independent Bank Corp,Independent Bank Corp.,16889,453836
Independent Bank Corp,Independent Bank Corp.,16889,453838
Independent Bank Group Inc,Independent Bank Group Inc,17451,453839
Independent Financial Network,Independent Financial Network Inc,31604,453854
Integral Systems Inc,Integral Systems Inc,22059,45555Z
Infinity Energy Resources Inc,Infinity Energy Resources,23561,45663L
Infosonics Corp,Infosonics Corp -Old,264713,456784
INFRAX Systems Inc,Infrax Systems Inc,179221,45685T
Ingevity Corp,Ingevity Corp,27119,45688C
Information Resources Inc,Information Resources Inc,5961,456905
Ingredion Inc,Ingredion Inc,66016,457187
InkSure Technologies Inc,Inksure Technologies Inc-Old,66457,45727E
Insight Enterprises Inc,Insight Enterprises Inc,31453,45765U
Insignia Financial Group Inc,Insignia Financial Group Inc.,114346,45767A
Inphi Corp,Inphi Corp,185112,45772F
InPhonic Inc,Inphonic Inc,151257,45772G
Innovative Food Holdings Inc,Innovative Food Holdings,264393,45772H
Insteel Industries Inc,Insteel Industries Inc,4498,45774W
Inova Technology Inc,Inova Technology Inc,142698,45776L
Inogen Inc,Inogen Inc,19274,45780L
Innoviva Inc,Innoviva Inc,160668,45781M
INSU Acquisition Corp II,Insu Acquisition Corp II,36903,457821
Insurance Acquisition Corp,Insurance Acquisition Corp,34963,457867
Inpixon,Inpixon,148396,45790J
InnSuites Hospitality Trust,InnSuites Hospitality Trust,8987,457919
Integra LifeSciences Holdings,Integra LifeSciences Holdings Corp,61181,457985
Integrated Device Technology,Integrated Device Technology Inc.,6003,458118
Integrated Biopharma Inc,Integrated BioPharma Inc,61880,45811V
Integrated Health Services Inc,Integrated Health Services Inc,23946,45812C
Integrated Security Systems,Integrated Security Systems Inc -Old,28156,45812J
Intel Corp,Intel Corp,6008,458140
Insys Therapeutics Inc,Insys Therapeutics Inc,186832,45824V
Intellinetics Inc,Intellinetics Inc,170756,45825X
Integer Holdings Corp,Integer Holdings Corp,140073,45826H
Interactive Brokers Group Inc,Interactive Brokers Group Inc,176701,45841N
InterCloud Systems Inc,InterCloud Systems Inc,186748,458488
IntercontinentalExchange Inc,Intercontinental Exchange Inc,163610,45865V
Intercontinental Exchange Inc,Intercontinental Exchange Inc,163610,45866F
Intergraph Corp,Intergraph Corp,6036,458683
Interlink Electronics Inc,Interlink Electronics,28374,458751
Internap Corp,Internap Corp,124358,45885A
International Game Technology,International Game Technology,6097,459902
International Paper Co,International Paper Co,6104,460146
International Speedway Corp,International Speedway Corp,6116,460335
